Name,Source(s) Derived From,Natural or Artificial?
Orzo,"Plant Sources, Other Natural Sources",Natural
Osha,Plant Sources,Natural
Osmanthus,Plant Sources,Natural
Osmium,Other Natural Sources,Natural
Other Color,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Ovine Spleen,Animal Sources,Natural
Ox Bile Extract,"Animal SourcesOx bile extract can be sourced from cattle, bison, African buffalo, water buffalo, and yaks; However, most ox bile extract is sourced from cattle.",Natural
Oxygen,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Oyster Mushroom,Other Natural Sources,Natural
Oysters,Animal Sources,Natural
Palladium,Other Natural Sources,Natural
Palm Kernel Oil,Plant Sources,Natural
Palm Oil,Plant Sources,Natural
Palm Shortening,Plant Sources,Natural
Palm Sugar,Plant Sources,Natural
Palmitic Acid,"Animal Sources, Plant Sources",Natural
Palmitoleic Acid,"Animal Sources, Plant Sources",Natural
Paloondo,Plant Sources,Natural
Pancreatin,Animal Sources,Natural
Paneer Cheese,Animal Sources,Natural
Pantethine,"Animal Sources, Plant Sources",Natural
Papain,Plant Sources,Natural
Papaya,Plant Sources,Natural
Paprika,Plant Sources,Natural
Paprika Extract,Plant Sources,Natural
Para Aminobenzoic Acid,"Animal Sources, Plant Sources",Natural
Paris Green,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Parmesan Cheese,Animal Sources,Natural
Parsley,Plant Sources,Natural
Parsley Powder,Plant Sources,Natural
Parsley Seed Oil,Plant Sources,Natural
Parsnip,Plant Sources,Natural
Partially Defatted Peanut Flour,Plant Sources,Natural
Partially Hydrogenated Oil,"Plant Sources, Chemical (Synthetic) Sources",Artificial & Possibly Unsafe
Pasilla Pepper,Plant Sources,Natural
Passiflora Incarnata,Plant Sources,Natural
Passion Flower,Plant Sources,Natural
Passion Fruit,Plant Sources,Natural
Pasta,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Patchouli Oil,Plant Sources,Natural
Pau DArco Bark,Plant Sources,Natural
Pea Fiber,Plant Sources,Natural
Pea Starch,Plant Sources,Natural
Peaches,Plant Sources,Natural
Peanut Butter,Plant Sources,Natural
Peanut Flour,Plant Sources,Natural
Peanut Oil,Plant Sources,Natural
Peanut Splits,Plant Sources,Natural
Peanuts,Plant Sources,Natural
Pear Tomatoes,Plant Sources,Natural
Pearl Onions,Plant Sources,Natural
Pearl Sugar,"Plant SourcesPearl sugar is made by crushing blocks of white sugar, then sifting to obtain fragments of a given diameter. The sugar may also be made in an extrusion process. [1]",Natural
Pearled Barley,Plant Sources,Natural
Pearled Wheat,Plant Sources,Natural
Pears,Plant Sources,Natural
Peas,Plant Sources,Natural
Pecan Meal,Plant Sources,Natural
Pecans,Plant Sources,Natural
Pectin,Plant Sources,Natural
Pectinase,Plant Sources,Natural
Peelu Extract,Plant Sources,Natural
PEG 400,Chemical (Synthetic) Sources,Artificial
Penicillium,Other Natural Sources,Unknown
Penicillium Roqueforti,Plant Sources,Natural
Penne,Plant Sources,Natural
Peony Root,Plant Sources,Natural
Peperoncini,Plant Sources,Natural
Pepper Root,Plant Sources,Natural
Peppercorn,Plant Sources,Natural
Peppermint,Plant Sources,Natural
Peppermint Oil,Plant Sources,Natural
Pepperoni,Animal Sources,Natural
Pepsin,Animal Sources,Natural
Peptides,"Animal Sources, Plant Sources",Natural
Pequin Peppers,Plant Sources,Natural
Peri Peri,Plant Sources,Natural
Perilla,Plant Sources,Natural
Perilla Leaf,Plant Sources,Natural
Persica Seed,Plant Sources,Natural
Persimmon,Plant Sources,Natural
Phenibut,Animal Sources,Natural
Phenols,Plant Sources,Natural
Phenylalanine,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Phenylethylamine,"Animal Sources, Plant Sources",Natural
Phosphate,Other Natural Sources,Natural
Phosphatidyl Choline,"Animal Sources, Plant Sources",Natural
Phosphatidylcholine,"Animal Sources, Plant SourcesPhosphatidylcholines can be obtained from a variety of readily available sources, such as egg yolk or soy beans, from which they are mechanically or chemically extracted using hexane. [1]",Natural
Phosphatidylinositol,Plant Sources,Natural
Phosphatidylserine,"Animal Sources, Plant Sources",Natural
Phospholipids,"Animal Sources, Plant Sources",Natural
Phosphoric Acid,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Phosphorus,Other Natural Sources,Natural
Phyllanthus,Plant Sources,Natural
Phyllanthus Niruri,Plant Sources,Natural
Phylloquinone,Plant Sources,Natural
Phytase,Plant Sources,Natural
Phytic Acid,Plant Sources,Natural
Phytosterols,Plant Sources,Natural
Pickled Onions,"Plant Sources, Other Natural SourcesConsists of onions, vinegar, salt, and often with other preservatives and flavors. [1]",Natural
Pickles,Plant Sources,Natural
Picroliv,Plant Sources,Natural
Picrorhiza Kurroa,Plant Sources,Natural
Pigeon Pea,Plant Sources,Natural
Pimento Berry Oil,Plant Sources,Natural
Pimentos,Plant Sources,Natural
Pine Bark Extract,Plant Sources,Natural
Pine Extract,Plant Sources,Natural
Pine Nut Flour,Plant Sources,Natural
Pine Nuts,Plant Sources,Natural
Pineapple Juice,Plant Sources,Natural
Pineapple Syrup,Plant Sources,Natural
Pineapples,Plant Sources,Natural
Pink Beans,Plant Sources,Natural
Pinot Noir,Plant Sources,Natural
Pinto Beans,Plant Sources,Natural
Pinus Koraiensis,Plant Sources,Natural
Piper,Plant Sources,Natural
Piperine,Plant Sources,Natural
Pipsissewa,Plant Sources,Natural
Piquillo Peppers,Plant Sources,Natural
Pistachio Flour,Plant Sources,Natural
Pistachios,Plant Sources,Natural
Pita,Plant Sources,Natural
Pitaya,Plant Sources,Natural
Pizzle,Animal Sources,Natural
Plant Derived Material,Plant Sources,Natural
Plantago,Plant Sources,Natural
Plantain,Plant Sources,Natural
Platinum,Other Natural Sources,Natural
Platycodon,Plant Sources,Natural
Plum Tomatoes,Plant Sources,Natural
Plum Vinegar,Plant Sources,Natural
Plums,Plant Sources,Natural
Poblano Chile Peppers,Plant Sources,Natural
Policosanol,Plant Sources,Natural
Policosinal,Plant Sources,Natural
Pollock,Animal Sources,Natural
Poly Lipids,Chemical (Synthetic) Sources,Artificial
Polydextrose,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Polydimethylsiloxane,"Chemical (Synthetic) SourcesSilicones are inert, synthetic compounds with a variety of forms and uses. [2]",Artificial
Polyethylene Glycol,Chemical (Synthetic) Sources,Artificial
Polyglycerol Esters,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Polyglycerol Polyricinoleate,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Polyglycitol Syrup,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Polygonaceae,Plant Sources,Natural
Polygonum Cuspidatum Extract,Plant Sources,Natural
Polyoxyethylene Stearate,Chemical (Synthetic) Sources,Artificial
Polyphenols,Plant Sources,Natural
Polyplasdone,Chemical (Synthetic) Sources,Artificial
Polypore,Other Natural SourcesPolypores are often found on rotting logs. [1],Natural
Polyporus Umbellatus,Other Natural SourcesPolyporus Umbellatus is found growing on roots of old beeches or oak. [1],Natural
Polysaccharides,"Animal Sources, Plant Sources",Natural
Polysorbates,Chemical (Synthetic) SourcesPolysorbates are derived from polyethoxylated sorbitan and oleic acid. [2],Artificial
Polyvinylpyrrolidone,Chemical (Synthetic) Sources,Artificial
Pomegranate,Plant Sources,Natural
Pomegranate Juice,Plant Sources,Natural
Pomegranate Seed Oil,Plant Sources,Natural
Pomegranate Vinegar,Plant Sources,Natural
Popcorn,Plant Sources,Natural
Poppy,Plant Sources,Natural
Poppy Seeds,Plant Sources,Natural
Porcine Brain,Animal Sources,Natural
Porcine Eye Extract,Animal Sources,Natural
Porcine Stomach,Animal Sources,Natural
Porcini Mushrooms,Plant Sources,Natural
Poria Cocos,Other Natural SourcesWolfiporia extensa a fungus in the Polyporaceae family. [1],Natural
Pork,Animal Sources,Natural
Pork Bone,Animal Sources,Natural
Pork Broth,Animal Sources,Natural
Pork Rinds,Animal Sources,Natural
Pork Stock,Animal Sources,Natural
Port Wine,Plant Sources,Natural
Portobello Mushrooms,Plant Sources,Natural
Potassium,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Potassium Acetate,Plant Sources,Natural
Potassium Alginate,Other Natural Sources,Natural
Potassium Ascorbate,Plant Sources,Natural
Potassium Benzoate,"Animal Sources, Plant Sources",Natural & Possibly Unsafe
Potassium Bicarbonate,Other Natural Sources,Natural
Potassium Bitartrate,Plant Sources,Natural
Potassium Bromate,Other Natural Sources,Natural & Possibly Unsafe
Potassium Carbonate,Other Natural Sources,Natural
Potassium Chloride,Other Natural Sources,Natural
Potassium Cinnamate,Chemical (Synthetic) Sources,Artificial
Potassium Citrate,Other Natural Sources,Natural
Potassium Dichromate,Other Natural Sources,Natural
Potassium Glycerophosphate,Other Natural Sources,Natural
Potassium Hydroxide,Chemical (Synthetic) Sources,Artificial
Potassium Iodate,Other Natural Sources,Natural
Potassium Iodide,Other Natural Sources,Natural
Potassium Lactate,Other Natural Sources,Natural
Potassium Metabisulfite,Other Natural Sources,Natural
Potassium Nitrate,"Other Natural Sources, Chemical (Synthetic) SourcesIt occurs as a mineral niter and is a natural solid source of nitrogen. [1]",Both (Can be derived from Natural & Artificial Sources)
Potassium Phosphate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Potassium Sodium Tartrate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Potassium Sorbate,"Other Natural Sources, Chemical (Synthetic) SourcesPotassium sorbate is produced industrially by neutralizing sorbic acid with potassium hydroxide. The precursor sorbic acid is produced in a two-step process via the condensation of crotonaldehyde and ketene. [1]",Both (Can be derived from Natural & Artificial Sources)
Potassium Stearate,Other Natural Sources,Natural
Potassium Sulfate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Potato Fiber,Plant Sources,Natural
Potato Flakes,Plant Sources,Natural
Potato Protein,Plant Sources,Natural
Potato Starch,Plant Sources,Natural
Potatoes,Plant Sources,Natural
Poultry,Animal Sources,Natural
Poultry Digest,Animal Sources,Natural
Poultry Meal,Animal Sources,Natural
Povidine,Other Natural Sources,Natural & Possibly Unsafe
Powdered Cellulose,Plant Sources,Natural
Powdered Milk,Animal Sources,Natural
Prairie Dock,Plant Sources,Natural
Praseodymium,Other Natural Sources,Natural
Pregnenolone,Animal Sources,Natural
Pretzels,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Prickly Ash Bark Extract,Plant SourcesPrickly ash bark extract is sourced from the aromatic shrub known as the common prickly ash. [1],Natural
Prickly Pears,Plant Sources,Natural
Privet,Plant Sources,Natural
Proanthocyanidin,Plant Sources,Natural
Proline,Plant Sources,Natural
Promethium,Other Natural Sources,Natural
Propane,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Propellant,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Propionibacterium,Other Natural Sources,Natural
Propionic Acid,"Plant Sources, Chemical (Synthetic) Sources",Natural
Propolis,"Animal Sources, Plant Sources",Natural
Propyl Gallate,Chemical (Synthetic) Sources,Artificial
Propylene Glycol,Chemical (Synthetic) Sources,Artificial
Propylene Glycol Alginate,Plant Sources,Natural
Propylene Glycol Fatty Acid Ester,"Animal Sources, Plant Sources",Natural
Propylene Glycol Monostearate,Chemical (Synthetic) Sources,Artificial
Propylparaben,"Animal Sources, Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Proso Millet,Plant Sources,Natural
Protease,Other Natural Sources,Natural
Protease Peptone,Animal Sources,Natural
Protein,"Animal Sources, Plant Sources",Natural
Protein Colloids,Animal Sources,Natural
Protein Digest,"Animal Sources, Plant Sources",Natural
Proteinate,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Protodioscin,Plant Sources,Natural & Possibly Unsafe
Provolone,Animal Sources,Natural
Prunella,Plant Sources,Natural
Prunes,Plant Sources,Natural
Psyllium Husk,Plant Sources,Natural
Puerh Tea,Plant Sources,Natural
Puffed Rice,Plant Sources,Natural
Pullulan,"Plant Sources, Other Natural Sources",Unknown
Pulp,Plant Sources,Natural
Pulsatilla,Plant Sources,Natural
Pumpernickel,Plant Sources,Natural
Pumpkin,Plant Sources,Natural
Pumpkin Pie Spice,Plant Sources,Natural
Pumpkin Seed Oil,Plant Sources,Natural
Pumpkin Seeds,Plant Sources,Natural
Punture Vine,Plant Sources,Natural
Puree,Plant Sources,Natural
Purple Carrot Extract,Plant Sources,Natural
Pygeum Africanum Bark Extract,Plant SourcesPygeum africanum bark extract is derived from the African plum tree of the Rosaceae family. [1],Natural
Pyridoxal Phosphate,"Plant Sources, Other Natural Sources",Natural
Pyridoxine Alpha Ketoglutarate,Other Natural Sources,Natural
Pyroglutamic Acid,Other Natural SourcesIt is found in many proteins including bacteriorhodopsin. [1],Natural
Pyrola,Plant Sources,Natural
Pyrolysate,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Pyrophosphate,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Quail Eggs,Animal Sources,Natural
Quassia,Plant Sources,Natural
Quercetin,"Plant SourcesQuercetin is found in fruits, vegetables, leaves, and grains. Some sources where Quercetin can be found include; tea plant, apples, cow peas, sweet potatoes, kale, watercress, red onions, and broccoli. [1]",Natural
Quillaia,Plant Sources,Natural
Quinine,"Plant SourcesNatural QuinineNaturally found as an alkoloid compound extracted from the bark of Cinchona trees. [1]Synthetic Quinine
A formal chemical synthesis was accomplished in 1944 by American chemists R.B. Woodward and W.E. Doering. [1]

Even though synthetic forms exist, Cinchona trees remain the only economically practical source of quinine. [1]",Natural
Quinoa,Plant Sources,Natural
Quinoa Flour,Plant Sources,Natural
Quinones,Plant Sources,Natural
Radicchio,Plant Sources,Natural
Radish,Plant Sources,Natural
Raisin Juice,Plant Sources,Natural
Raisins,Plant Sources,Natural
Ramon Seeds,Plant Sources,Natural
Rapadura,Plant Sources,Natural
Raspberries,Plant Sources,Natural
Raspberry Juice,Plant Sources,Natural
Raspberry Ketone,Plant Sources,Natural
Raspberry Leaves,Plant Sources,Natural
Rauwolscine,Plant Sources,Natural
Rawhide,Animal Sources,Natural
Rebiana,Plant Sources,Natural
Red 10,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Red 3,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Red 4,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Red 40,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Red Cabbage,Plant Sources,Natural
Red Clover,Plant Sources,Natural
Red Delicious Apples,Plant Sources,Natural
Red Fruit,Plant Sources,Natural
Red Leaf,Plant Sources,Natural
Red Onions,Plant Sources,Natural
Red Yeast Rice,"Plant Sources, Other Natural Sources",Natural
Redskin Peanuts,Plant Sources,Natural
Reduced Iron,Other Natural Sources,Natural
Reduced Lactose Whey,"Animal Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Rehmannia,Plant Sources,Natural
Rehmannia Glutinosa,Plant Sources,Natural
Reishi,Plant Sources,Natural
Relish,Plant Sources,Natural
Rennet,"Animal Sources, Plant Sources, Other Natural SourcesRennet can be extracted from an animal's stomach, from a complex of plant enzymes, or produced from using moulds and/or fungi.",Natural
Rennet Casein,Animal Sources,Natural
Rest Harrow,Plant Sources,Natural
Resveratrol,Plant Sources,Natural
Rhenium,Other Natural Sources,Natural
Rhizome,Plant Sources,Natural
Rhodiola Rosea,Plant Sources,Natural
Rhodium,Other Natural Sources,Natural
Rhododendron,Plant Sources,Natural
Rhubarb,Plant Sources,Natural
Rhus Coriaria,Plant Sources,Natural
Riboflavin,"Animal Sources, Plant SourcesRiboflavin can be found in meats, eggs, legumes, nuts, green vegetables and dairy products.",Natural
Ribonucleic Acid,"Animal Sources, Plant Sources, Other Natural Sources",Natural
Ribose,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Rice,Plant Sources,Natural
Rice Bran,Plant Sources,Natural
Rice Bran Extract,Plant Sources,Natural
Rice Bran Oil,Plant Sources,Natural
Rice Flour,Plant Sources,Natural
Rice Meal,Plant Sources,Natural
Rice Milk,Plant Sources,Natural
Rice Oligodextrins,Plant Sources,Natural
Rice Polish,Plant Sources,Natural
Rice Protein,Plant Sources,Natural
Rice Starch,Plant Sources,Natural
Rice Syrup,Plant Sources,Natural
Rice Syrup Solids,Plant Sources,Natural
Rice Wine,Plant Sources,Natural
Ricotta Cheese,Animal Sources,Natural
Riesling,Plant Sources,Natural
Robusta Coffee Beans,Plant Sources,Natural
Rolled Oats,Plant Sources,Natural
Roma Tomatoes,Plant Sources,Natural
Romaine,Plant Sources,Natural
Romano Cheese,Animal Sources,Natural
Rooibos,Plant Sources,Natural
Rosa Canina,Plant Sources,Natural
Rose Hips,Plant Sources,Natural
Rose Water,"Plant Sources, Other Natural Sources",Natural
Roselle,Plant Sources,Natural
Rosemary,Plant Sources,Natural
Rosemary Oil,Plant Sources,Natural
Roses,Plant Sources,Natural
Royal Jelly,Animal Sources,Natural
Rubidium,Other Natural Sources,Natural
Rum,Plant Sources,Natural
Russet Potatoes,Plant Sources,Natural
Rutabaga,Plant Sources,Natural
Ruthenium,Other Natural Sources,Natural
Rutin,Plant SourcesRutin is found in the buckwheat plant. [1],Natural
Rye,Plant Sources,Natural
Rye Bran,Plant Sources,Natural
Rye Flour,Plant Sources,Natural
Rye Meal,Plant Sources,Natural
S Adenosyl Methionine,Other Natural Sources,Natural
Saccharin,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Saccharomyces,Other Natural Sources,Natural
Saccharomyces Boulardii,Other Natural SourcesSaccharomyces boulardii is found in lychee and mangosteen fruit. [1],Natural
Saccharomyces Cerevisiae,Other Natural Sources,Natural
Sacha Inchi,Plant Sources,Natural
Safflower Oil,Plant Sources,Natural
Safflower Yellow,Plant Sources,Natural
Safflowers,Plant Sources,Natural
Saffron,Plant Sources,Natural
Sage,Plant Sources,Natural
Saigon Cinnamon,Plant Sources,Natural
Sake,Plant Sources,Natural
Salmon,Animal Sources,Natural
Salmon Meal,Animal Sources,Natural
Salt,Other Natural Sources,Natural
Salvia Miltiorrhiza,Plant Sources,Natural
Samarium,Other Natural Sources,Natural
Sand Lance,Animal Sources,Natural
Saponins,Plant Sources,Natural
Sardines,Animal Sources,Natural
Sarsaparilla,Plant Sources,Natural
Sassafras,Plant Sources,Natural
Sausage,"Animal Sources, Plant Sources",Natural
Sausage Casing,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sauterne Wine,Plant Sources,Natural
Savory,Plant Sources,Natural
Saw Palmetto,Plant Sources,Natural
Scallions,Plant Sources,Natural
Scallop,Animal Sources,Natural
Scandium,Other Natural Sources,Natural
Schisandra,Plant Sources,Natural
Schisandra Berry,Plant Sources,Natural
Schizonepeta,Plant Sources,Natural
Sclareolide,Plant Sources,Natural
Scotch Bonnet Peppers,Plant Sources,Natural
Sea Buckthorn,Plant Sources,Natural
Sea Cucumber,Animal SourcesSea cucumbers are marine animals found on the sea floor worldwide. [1],Natural
Sea Salt,Other Natural Sources,Natural
Sea Vegetables,Plant Sources,Natural
Seafood Broth,Animal Sources,Natural
Seasoning,"Plant Sources, Other Natural Sources",Natural
Seastring,"Plant SourcesSeastring is found in in temperate waters in northern and western Europe, Mediterranean Sea, Iceland, Greenland, Canada, New England, Argentina, round the coasts of Africa, India, Japan, Korea, China, Russia, Indonesia, Australia and New Zealand. [1]",Natural
Seaweed,Plant Sources,Natural
Seaweed Meal,Plant Sources,Natural
Selenium,"Animal Sources, Other Natural Sources",Natural
Selenium Dioxide,Other Natural Sources,Natural
Selenium Yeast,"Plant Sources, Other Natural Sources",Natural
Selenomethionine,Other Natural Sources,Natural
Semolina,Plant Sources,Natural
Sencha,Plant Sources,Natural
Senna,Plant Sources,Natural
Senna Alexandrina,Plant Sources,Natural
Sennosides,Plant Sources,Natural & Possibly Unsafe
Serine,Other Natural Sources,Natural
Serrano Peppers,Plant Sources,Natural
Serratiopeptidase,Other Natural Sources,Natural
Serum Albumin,Animal Sources,Natural
Sesame,Plant Sources,Natural
Sesame Oil,Plant Sources,Natural
Sesame Seeds,Plant Sources,Natural
Sesame Sticks,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sesamin,"Plant SourcesDerived from sesame oil, and Fagara plants.",Natural
Shallots,Plant Sources,Natural
Shark Cartilage,Animal Sources,Natural
Shatavari,Plant Sources,Natural
Shea Butter,Plant SourcesShea Butter is extracted from nuts of the African shea tree (Vitellaria paradoxa). [1],Natural
Sheanut Oil,Plant Sources,Natural
Sheep Milk,Animal Sources,Natural
Sheep Sorrel,Plant Sources,Natural
Shellac,Animal Sources,Natural
Shellfish,"Animal SourcesAlthough most kinds of shellfish are harvested from saltwater environments, some kinds are found in freshwater. [1]",Natural
Sherry Vinegar,Plant Sources,Natural
Sherry Wine,Plant Sources,Natural
Shiitake,Plant Sources,Natural
Shoepeg Corn,"Plant SourcesThe name ""shoepeg corn"" derives from the 19th century shoe making term. [1]",Natural
Shortening,"Animal Sources, Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Shrimp,Animal Sources,Natural
Shrimp Meal,Animal Sources,Natural
Siberian Ginseng,Plant Sources,Natural
Sichuan Pepper,Plant Sources,Natural
Siderite,Other Natural Sources,Natural
Siler Root,Plant Sources,Natural
Silicon,Other Natural Sources,Natural
Silicon Dioxide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Silver,Other Natural Sources,Natural
Silybin,Plant SourcesSilybin is derived from milk thistle seeds. [1],Natural
Silymarin Milk Thistle Extract,Plant Sources,Natural
Sinofranchetia Chinesis,Plant Sources,Natural
Sirloin Beef,Animal Sources,Natural
Skim Milk,Animal Sources,Natural
Skullcap,Plant Sources,Natural
Slippery Elm Bark,Plant Sources,Natural
Smilax,Plant Sources,Natural
Smoked Salt,Other Natural Sources,Natural
Smoked Sugar,Plant Sources,Natural
Snails,Animal Sources,Natural
Snap Peas,Plant Sources,Natural
Snow Peas,Plant Sources,Natural
Sockeye Salmon,Animal Sources,Natural
Sodium,Other Natural Sources,Natural
Sodium Acetate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Alginate,Other Natural Sources,Natural
Sodium Aluminosilicate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Sodium Aluminum Phosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Sodium Aluminum Sulfate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Sodium Ascorbate,Plant Sources,Natural
Sodium Bentonite,Other Natural Sources,Natural
Sodium Benzoate,Other Natural Sources,Natural & Possibly Unsafe
Sodium Bisulfate,Chemical (Synthetic) Sources,Artificial
Sodium Bisulfite,Chemical (Synthetic) Sources,Artificial
Sodium Carbonate,Other Natural Sources,Natural
Sodium Citrate,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Erythorbate,Plant SourcesSodium erythorbate can be sourced from sugars such as beet and cane,Natural
Sodium Ferrocyanide,Chemical (Synthetic) Sources,Artificial
Sodium Fluoride,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Gluconate,Other Natural Sources,Natural
Sodium Glucuronate,Animal SourcesGlucuronic acid is part of mucous animal secretions (such as saliva). [1],Natural
Sodium Hexametaphosphate,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Sodium Hydroxide,Other Natural Sources,Natural & Possibly Unsafe
Sodium Iodide,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Lactate,Other Natural Sources,Natural
Sodium Lauryl Sulfate,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Sodium Malate,Other Natural Sources,Natural
Sodium Metabisulfite,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Molybdate,"Animal Sources, Plant Sources",Natural
Sodium Nitrite,"Plant Sources, Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Phosphate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Polyacrylate,"Other Natural Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sodium Propionate,Other Natural Sources,Natural
Sodium Pyrophosphate,Chemical (Synthetic) Sources,Artificial
Sodium Selenate,Other Natural Sources,Natural
Sodium Selenite,Other Natural Sources,Natural
Sodium Sorbate,Chemical (Synthetic) Sources,Artificial & Possibly Unsafe
Sodium Starch Glycolate,"Plant Sources, Chemical (Synthetic) Sources",Artificial
Sodium Stearate,Other Natural Sources,Natural
Sodium Stearoyl Lactylate,"Other Natural Sources, Chemical (Synthetic) Sources",Artificial
Sodium Sulfate,Other Natural Sources,Natural
Sodium Sulfite,Other Natural Sources,Natural
Sodium Thiosulfate,Chemical (Synthetic) Sources,Artificial
Sodium Triphosphate,"Chemical (Synthetic) SourcesSodium tripolyphosphate is produced by heating a stoichiometric mixture of disodium phosphate, Na2HPO4, and monosodium phosphate, NaH2PO4, under carefully controlled conditions. [1]",Artificial
Sodium Tripolyphosphate,Chemical (Synthetic) Sources,Artificial
Solomon Seal,Plant Sources,Natural
Sophora Japonica,Plant Sources,Natural
Sorbic Acid,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources)
Sorbitan,Chemical (Synthetic) Sources,Artificial
Sorbitan Monostearate,Chemical (Synthetic) Sources,Artificial
Sorbitan Tristearate,Chemical (Synthetic) Sources,Artificial
Sorbitol,Plant Sources,Natural
Sorghum,Plant Sources,Natural
Sorghum Flour,Plant Sources,Natural
Sorghum Syrup,Plant Sources,Natural
Sour Cherries,Plant Sources,Natural
Sour Cream,Animal Sources,Natural
Sourdough,Plant Sources,Natural
Soursop,Plant Sources,Natural
Soy,Plant Sources,Natural & Possibly Unsafe
Soy Fiber,Plant Sources,Natural
Soy Germ,Plant Sources,Natural
Soy Grits,Plant Sources,Natural
Soy Lecithin,Plant Sources,Natural
Soy Milk,Plant Sources,Natural
Soy Nuts,Plant Sources,Natural
Soy Protein,Plant Sources,Natural
Soy Sauce,Plant Sources,Natural
Soybean Meal,Plant Sources,Natural
Soybean Oil,"Plant Sources, Chemical (Synthetic) Sources",Both (Can be derived from Natural & Artificial Sources) & Possibly Unsafe
Spaghetti,Plant Sources,Natural
Spanish Moss,Plant Sources,Natural
Spearmint,Plant Sources,Natural
Spearmint Oil,Plant Sources,Natural
Spelt,Plant Sources,Natural
Spelt Flour,Plant Sources,Natural
Spices,"Plant Sources, Other Natural Sources",Natural
Spinach,Plant Sources,Natural
Spinach Juice,Plant Sources,Natural
Spirit Vinegar,Plant Sources,Natural
Spirulina,Plant Sources,Natural
Split Peas,Plant Sources,Natural
Sprats,Animal Sources,Natural
Squash,Plant Sources,Natural
Squid,Animal Sources,Natural
